"source","asin","keyword","search_volume","organic_rank","sponsored_rank","cpr","iq_score","title_density","competing_products","keyword_sales","cpc","trend","notes"
"helium10:get_keywords_by_asin","B0822X1VP7","king size cooling sheets","5167","","","30.38","574.11","0","9000","133","2.55","'-14","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl sheets","193287","61","","257.78","38657.4","11","5000","1535","1.6","13","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","sheets","100849","","36","155.48","1008.49","35","100000","1519","1.74","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin bed sheets","57927","54","","93.81","5792.7","2","10000","1448","1.29","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin sheets set","60550","","","98.53","6055","7","10000","1308","1.29","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin fitted sheet","27587","99","","64.77","2758.7","24","10000","1056","1.36","'-9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","xl twin sheets","27004","77","","57.01","5400.8","2","5000","908","1.61","'-9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","bed skirt","114951","","","175.8","19158.5","46","6000","870","0.73","14","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin sheets","72653","","","112.94","3632.65","7","20000","739","1.21","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","full xl sheets","34509","","","65.3","8627.25","0","4000","671","1.13","80","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl fitted sheet","16517","146","","52.56","3303.4","27","5000","533","1.48","3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin fitted sheets 2 pack","12220","77","","39.09","1222","1","10000","499","1.38","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","bed skirt dorm twin xl","29863","","","59.77","39293.42","0","760","477","0.83","151","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","hospital bed sheets","12215","67","","47.44","12215","27","1000","476","1.14","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","cotton","14963","","","57.14","74.82","47","200000","409","0.86","'-40","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl sheets cotton","14588","92","","41.59","7294","0","2000","328","1.77","5","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin size sheets","11481","","","38.21","574.05","1","20000","316","1.34","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl bed skirt","18181","","","46.51","18181","2","1000","287","0.75","30","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","flat sheets only","9145","","","38.33","182.9","10","50000","282","1.2","4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","full size sheets cotton","8066","","","33.83","2016.5","0","4000","258","1.68","4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl sheet sets","9125","73","","35.73","2281.25","2","4000","247","1.72","'-14","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin bedding sets","19167","280","","47.68","958.35","2","20000","246","0.93","75","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","full sheets sets","5182","","","30.4","172.73","0","30000","238","1.99","3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl sheet set","9125","48","","38.62","2281.25","11","4000","230","1.48","4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","full size sheet set","6656","","","33.11","665.6","3","10000","227","1.5","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B016P42ARU","twin xl duvet cover","16517","","","47.74","8258.5","12","2000","224","1.29","35","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","bed sheets","112573","","18","163.97","2814.33","18","40000","1833","1.47","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","sheets","100849","58","","155.48","1008.49","35","100000","1519","1.74","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","deep pocket queen sheets","39269","49","","74.82","3926.9","12","10000","1277","1.65","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen size sheets","39264","","","70.95","1963.2","0","20000","1156","2.01","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen bed sheets","86474","","","127.78","4323.7","2","20000","1006","1.73","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen fitted sheet","19172","","","53.79","958.6","21","20000","769","1.79","'-13","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","deep pocket king sheet set","26675","","","58.54","3810.71","8","7000","759","2.61","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","cooling sheets queen","39269","","","72.25","3926.9","4","10000","677","2.36","'-19","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","bed sheets queen size","46480","","","79.54","2324","0","20000","611","2.07","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","pillows queen size set of 4","15896","160","","51.5","1987","26","8000","582","1.9","1","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen size bed sheets","14998","","","42.08","749.9","0","20000","537","1.85","15","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen pillows set of 4","10437","161","","36.65","1491","0","7000","492","2.07","4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","cotton sheets queen","23889","","","54.91","2388.9","7","10000","430","1.67","'-19","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen sheets deep pocket","29863","60","","59.77","2986.3","0","10000","408","2","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen sheets set","16517","","","45.81","825.85","6","20000","356","1.67","'-10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen sheets cotton","10440","","","36.65","1044","0","10000","304","1.62","'-14","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen bed sheet set","10440","","","36.65","1044","0","10000","304","1.56","'-3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","satin sheets queen size","8293","","","36.35","8293","7","1000","243","1.52","11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen deep pocket sheet set","6646","31","16","32.14","738.44","0","9000","230","1.66","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","white sheets queen set","7327","64","","32.95","814.11","0","9000","225","2.1","5","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen size sheets deep pocket","5856","","16","31.2","585.6","0","10000","223","2.2","1","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","extra deep pocket king sheets","6168","","","32.21","685.33","2","9000","218","2.26","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","white queen sheets","4911","72","","30.4","491.1","1","10000","212","2.12","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen sheet set deep pocket","5854","","","31.2","650.44","0","9000","205","2.03","1","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X4TLW","queen sheets cooling","5854","","","31.2","585.4","0","10000","202","2.31","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
